epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
12,val,,,1.04499238513186,297.8228418737743,354.201820698150016,,,y_log_z
13,train,0.270821417371432,2.0862231420146093,,,,1.5419391658571031,0.2326530274003744,y_log_z
13,val,,,0.9395331633626074,250.53837755200607,305.916530437215783,,,y_log_z
14,train,0.271742166330417,2.0695722268687353,,,,1.573479904068841,0.22461176208323902,y_log_z
14,val,,,1.179902810386763,327.2321694975971,391.005330137342128,,,y_log_z
15,train,0.2773115959846311,2.0656873931487403,,,,1.5703726907571156,0.2184894939677583,y_log_z
15,val,,,1.2357108102498973,339.4484362731114,403.568582936555572,,,y_log_z
16,train,0.28363887903590995,2.073589767018954,,,,1.5643123007482953,0.23269176690114868,y_log_z
16,val,,,1.1198944056586873,274.92866155085875,351.908206843469713,,,y_log_z
17,train,0.28470619871384567,2.096511337492201,,,,1.4887398415141635,0.23136096923715538,y_log_z
17,val,,,1.0378285789749404,269.2347411027827,330.722506868315236,,,y_log_z
18,train,0.27862795028421616,2.120102561182446,,,,1.40574412047863,0.2290386286460691,y_log_z
18,val,,,0.9344723813956037,259.26422886492855,322.120480407054401,,,y_log_z
19,train,0.27173686689800686,2.137917081514994,,,,1.3974994901153777,0.23542572744190693,y_log_z
19,val,,,0.729773166035296,226.02310810665773,284.263393216536713,,,y_log_z
20,train,0.258561256652077,2.1294378522369595,,,,1.3458816938930087,0.2395295285516315,y_log_z
20,val,,,0.5364343655477473,159.57807891876388,220.719342735073525,,,y_log_z
21,train,0.24931328909264672,2.1030765573183694,,,,1.353542188803355,0.22676980371276537,y_log_z
21,val,,,0.45227937768297405,147.28456260896172,220.533691046817893,,,y_log_z
22,train,0.24524654385944208,2.141722795036104,,,,1.277883506483502,0.24166937255197102,y_log_z
22,val,,,0.53310688719382,160.369368940998,214.322065554671411,,,y_log_z
23,train,0.23623540645672214,2.1355849537584515,,,,1.4130230628781848,0.23235760836137664,y_log_z
23,val,,,0.52503086786443,181.827466232759,232.434424273995489,,,y_log_z
24,train,0.23355247038933966,2.1201589670446186,,,,1.3964059799909592,0.22576695908274916,y_log_z
24,val,,,0.4656320875349158,173.43532656002677,234.557446405176677,,,y_log_z
25,train,0.22904784460034636,2.081744796699948,,,,1.4803880883587732,0.22172871604561806,y_log_z
25,val,,,0.46798701538137844,138.03206818498572,190.065784584702953,,,y_log_z
26,train,0.22784452657732698,2.1444545321994357,,,,1.4926652957995732,0.2409878975401322,y_log_z
26,val,,,0.590257531686361,169.15770260889016,221.540126643672153,,,y_log_z
27,train,0.2232261480142673,2.1149714638789496,,,,1.408973710404502,0.22644447721540928,y_log_z
27,val,,,0.5559247444596662,181.68873381051458,237.848574470673327,,,y_log_z
28,train,0.22518839231795734,2.059423112206989,,,,1.485682456029786,0.21483265918989977,y_log_z
28,val,,,0.46644081333987114,153.05313962738984,215.193906444357225,,,y_log_z
29,train,0.22026034423874485,2.0741241888867483,,,,1.5019644382927153,0.21662540526853669,y_log_z
29,val,,,0.503298007732981,146.1290331872785,201.750080194379223,,,y_log_z
30,train,0.22211732011702326,2.090375062492159,,,,1.547207181652387,0.2267646160390642,y_log_z
30,val,,,0.8158647184665916,225.83958954490248,285.024509887752458,,,y_log_z
31,train,0.22323807949821153,2.0604492790169187,,,,1.5777953250540628,0.2184540316876438,y_log_z
31,val,,,0.6618031270284973,189.63074471632936,239.107611687823180,,,y_log_z
32,train,0.21712790822817218,2.0399892379840217,,,,1.6193236658970516,0.21817785853313076,y_log_z
32,val,,,0.5400865585298867,159.42393216748712,212.546643822048907,,,y_log_z
33,train,0.22193042147490713,2.0488877412345676,,,,1.6152455028560426,0.21510823484924105,y_log_z
33,val,,,0.6947641170870958,190.08828772081662,251.138609836720917,,,y_log_z
34,train,0.23031556440724266,2.0773542390929327,,,,1.5912939376301236,0.23417722309629121,y_log_z
34,val,,,0.8882035077272534,226.93895185059134,285.464031838350536,,,y_log_z
35,train,0.21813764919837317,2.0674902929200067,,,,1.5773341688844893,0.21935209011038145,y_log_z
35,val,,,0.9921941979281385,280.16912664313634,344.240478754677383,,,y_log_z
36,train,0.22226227447390556,2.050950446062618,,,,1.6114587667915556,0.2223323126220041,y_log_z
36,val,,,0.8399551861668514,258.70605067240496,328.001590253343750,,,y_log_z
37,train,0.22396836429834366,2.07478881544537,,,,1.5688491546445422,0.22498134544326198,y_log_z
37,val,,,0.7385449267038894,219.47926151883132,273.406272078193183,,,y_log_z
38,train,0.22865768811768955,2.081811045606931,,,,1.4977938814295664,0.22749213750163713,y_log_z
38,val,,,0.8081521181234728,224.96965179229176,273.774241790383087,,,y_log_z
39,train,0.22729276431103548,2.0971310337384543,,,,1.4343206783135731,0.22202341113653448,y_log_z
39,val,,,0.5391647350653302,176.11629781132405,222.990842310796580,,,y_log_z
40,train,0.21703674644231796,2.053563435872396,,,,1.5263831665118535,0.2169964797794819,y_log_z
40,val,,,0.5030526451385177,177.34701045161322,229.555431984659691,,,y_log_z
41,train,0.2127134578509463,2.0904129296541214,,,,1.5856455034679837,0.2280639430714978,y_log_z
41,val,,,0.5149323014882665,155.95241554339927,204.386973106179681,,,y_log_z
42,train,0.21025209522081745,2.0615549981594086,,,,1.6625045554505453,0.22187371717558968,y_log_z
42,val,,,0.5711012137369081,159.47041263822038,209.661350531430685,,,y_log_z
43,train,0.21096769761708048,2.049949331416024,,,,1.6685796661509409,0.22474082104033893,y_log_z
43,val,,,0.5112248883143085,146.21423337777873,199.849287629929023,,,y_log_z
44,train,0.21193195796675152,2.041657269001007,,,,1.6446376293897629,0.21786735496587223,y_log_z
44,val,,,0.499059513657539,168.97042462517484,230.213862394409546,,,y_log_z
45,train,0.20996923806766668,2.0483506090111203,,,,1.6346903774473402,0.2198296311414904,y_log_z
45,val,,,0.5230755914986205,167.29318442768428,224.226517098252089,,,y_log_z
46,train,0.20908568220006096,2.083830542034573,,,,1.5413298358519871,0.22834164111150634,y_log_z
46,val,,,0.7074120048577026,217.93767119082003,281.154149062849058,,,y_log_z
47,train,0.20901781506836414,2.0411472105317645,,,,1.6129716717534595,0.22064202278852463,y_log_z
47,val,,,0.7478231228233473,272.14668416729614,335.116417127816703,,,y_log_z
48,train,0.20471234619617462,2.0545263356632657,,,,1.5478314095073276,0.21710825918449295,y_log_z
48,val,,,0.6066348205044834,216.51192739883749,272.151461931891561,,,y_log_z
49,train,0.21229984756145212,2.0579239626725516,,,,1.6061659240060382,0.2251581135723326,y_log_z
49,val,,,0.5022648570910969,195.51966018996512,252.096075306703170,,,y_log_z
50,train,0.20897814321021238,2.031716302037239,,,,1.6317419591877196,0.21201128202180067,y_log_z
50,val,,,0.6714150908780695,199.16283535862635,260.389382406460129,,,y_log_z
51,train,0.21785769301156202,2.038738965988159,,,,1.6267778840329912,0.2137387396974696,y_log_z
51,val,,,0.8331000443907954,231.4637858550904,299.898708588374802,,,y_log_z
52,train,0.21997826463646358,2.0669011142518787,,,,1.6039342648453183,0.2308350803537501,y_log_z
52,val,,,0.7889550011240658,271.6357326893212,361.992668847870164,,,y_log_z
53,train,0.2164715640246868,2.038579962319798,,,,1.5964326063791912,0.2163536712113354,y_log_z
53,val,,,0.6077393650794399,191.1267129970396,262.640477020846106,,,y_log_z
54,train,0.22062453048096764,2.0733917355537415,,,,1.5902402930789523,0.22230436632202732,y_log_z
54,val,,,0.7001229831635596,184.1973215835644,259.401042959719916,,,y_log_z
55,train,0.2217678479436371,2.059870441754659,,,,1.5333207481437259,0.21205353281564182,y_log_z
55,val,,,0.7379824207435489,212.15700413790057,281.969017078572733,,,y_log_z
56,train,0.21260100623799694,2.0478525824016995,,,,1.5836138526598613,0.2201145804590649,y_log_z
56,val,,,0.6098517664920967,213.65312034521185,285.287382045721074,,,y_log_z
57,train,0.20592114101681444,2.0544356538189783,,,,1.5314748369985156,0.21288745022482342,y_log_z
57,val,,,0.5571683379901352,198.7656574999098,260.702107632953471,,,y_log_z
58,train,0.20688660090996158,2.0903501047028437,,,,1.5604186687204573,0.23742594694097838,y_log_z
58,val,,,0.625366954363272,202.1182084229811,260.180093928235522,,,y_log_z
59,train,0.20665728404290146,2.074736288852162,,,,1.5565729753838644,0.2170783153010739,y_log_z
59,val,,,0.5548373330183675,185.98439522130192,236.516979538668068,,,y_log_z
60,train,0.20605347409016556,2.0358232922024198,,,,1.592634027202924,0.21420106146898535,y_log_z
60,val,,,0.5939763689145927,189.63439678067542,237.799534237248110,,,y_log_z
61,train,0.20569357896844545,2.059168087111579,,,,1.6260471906926897,0.2248714884950055,y_log_z
61,val,,,0.5802288248179246,203.70831171533573,257.635541604799812,,,y_log_z
62,train,0.20615034509036276,2.048670493894153,,,,1.7014110816849604,0.23393374991913637,y_log_z
62,val,,,0.5528073153101577,179.44128403750648,242.449859337763911,,,y_log_z
63,train,0.21527563863330418,2.027697331375546,,,,1.6796717213259802,0.21126958106954893,y_log_z
63,val,,,0.6476979021176308,185.13515383510992,248.481415955227902,,,y_log_z
64,train,0.20734367354048622,2.0262463274929257,,,,1.6683814840184317,0.20812724841137728,y_log_z
64,val,,,0.784269885386817,235.20680786294437,303.524514871770009,,,y_log_z
65,train,0.20636270319422087,2.0675251947508917,,,,1.6271175030204985,0.23402858628994888,y_log_z
65,val,,,0.8772120189558339,274.1823251938445,338.038668479885871,,,y_log_z
66,train,0.20929491913153064,2.0412845412890115,,,,1.6559459136592016,0.2153718655722009,y_log_z
66,val,,,0.7307596689854672,251.64491838099235,309.224102988541347,,,y_log_z
67,train,0.20502956273655096,2.0303418238957724,,,,1.6579424954122968,0.21493583627872997,y_log_z
67,val,,,0.6436073274518662,241.00558984837755,291.375859502625019,,,y_log_z
68,train,0.20385524009664854,2.0556299322181277,,,,1.6219872666729822,0.22168505543635952,y_log_z
68,val,,,0.715445463878733,268.64870100884076,328.417734202637178,,,y_log_z
69,train,0.20851065632369783,2.0557172811693616,,,,1.6553634405136108,0.22162936379512152,y_log_z
69,val,,,0.8403766180260156,312.53688685318275,378.108410104543850,,,y_log_z
70,train,0.2059709754669004,2.0433206293318005,,,,1.6911550064881642,0.2212857726133532,y_log_z
70,val,,,0.8820847095728142,304.2948244141578,371.914884755258754,,,y_log_z
71,train,0.21064690748850504,2.026333418157366,,,,1.6890114264355764,0.2110816031280491,y_log_z
71,val,,,0.7192908116723755,231.73845332550198,295.602975769704642,,,y_log_z
72,train,0.20390112698078156,2.049823189775149,,,,1.651496594150861,0.22124559846189287,y_log_z
72,val,,,0.6250445304909812,188.62281909369992,247.313708529774686,,,y_log_z
73,train,0.2050024519364039,2.0363545036978192,,,,1.6143901315000322,0.21531251321236292,y_log_z
73,val,,,0.6574195700923147,201.13678899958063,255.503960943671274,,,y_log_z
74,train,0.21118328492674562,2.057338082128101,,,,1.5936079720656078,0.21614843503468567,y_log_z
74,val,,,0.8478502393635329,257.0344474933674,307.735609224245252,,,y_log_z
75,train,0.2083786545942227,2.034614074561331,,,,1.580565537015597,0.2073464911017153,y_log_z
75,val,,,0.9020667280634473,295.3210699821928,353.785118057033628,,,y_log_z
76,train,0.20760298954943815,2.0383269025219812,,,,1.6276856892638736,0.21442505034307638,y_log_z
76,val,,,0.7669572741361529,271.7739293831694,336.773587710948277,,,y_log_z
77,train,0.21085314783785078,2.0386303630140095,,,,1.640768023000823,0.21548775169584486,y_log_z
