epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
17,val,1,93.16777368456043,115.26911667850538,37.632244710211594,60.0,34784
17,val,2,140.23785201763985,233.13960212373877,60.29066307514016,120.0,31927
18,val,0,60.737687847228436,82.17916954987189,34.3877212556162,30.0,33163
18,val,1,113.85359661449723,147.10197894186345,34.22263109475621,60.0,34784
18,val,2,155.8155393890506,229.86607748797817,51.36718138252889,120.0,31927
19,val,0,51.08508164403206,66.8487020740818,38.542954497482135,30.0,33163
19,val,1,88.59892371562827,111.24369321184044,40.702621895124196,60.0,34784
19,val,2,133.71483588904962,223.09232288853647,62.539543333228934,120.0,31927
20,val,0,46.63682384391467,64.02423411254392,43.93752073093508,30.0,33163
20,val,1,101.27164875441115,132.10926774430433,39.095561177552895,60.0,34784
20,val,2,141.97182574594606,223.05941392513674,56.82337833181946,120.0,31927
21,val,0,66.60945798999686,94.1646324889596,34.408829116786784,30.0,33163
21,val,1,135.3723037354751,176.09499781556408,28.958716651333948,60.0,34784
21,val,2,179.37553328672024,250.53284613736525,43.834372161493405,120.0,31927
22,val,0,80.6768390540604,108.35728787806426,27.901577058770314,30.0,33163
22,val,1,132.77295435648395,167.86315113557143,28.846596136154556,60.0,34784
22,val,2,152.3248445596473,222.95985803181733,50.994456102984934,120.0,31927
23,val,0,71.54838544849434,105.25221905063606,34.921448602358055,30.0,33163
23,val,1,142.90975324671095,183.7903909048617,27.587396504139832,60.0,34784
23,val,2,168.1088140661338,234.13321610461858,45.19998747141917,120.0,31927
24,val,0,67.85937028842385,88.99238968504937,30.126948707897355,30.0,33163
24,val,1,120.19482291326023,149.62220358379187,29.927552897884084,60.0,34784
24,val,2,146.24937567383944,218.15254398710445,52.49475365677952,120.0,31927
25,val,0,77.89299284308638,105.23475257422734,29.002201248379215,30.0,33163
25,val,1,131.81973578234604,165.15520713149206,27.93525758969641,60.0,34784
25,val,2,144.13574601091943,213.771609508709,52.839289629467224,120.0,31927
26,val,0,84.21953837920367,117.70345591583197,28.950939299822092,30.0,33163
26,val,1,144.85317067389326,187.11242883818016,27.403403863845444,60.0,34784
26,val,2,174.5484697406021,235.46132421567015,41.341184577317,120.0,31927
27,val,0,70.74225928527981,95.7697489483935,30.187256882670443,30.0,33163
27,val,1,108.70464319336162,140.24943691728197,36.23217571297148,60.0,34784
27,val,2,139.48200678546837,210.2667208239396,55.36066652049989,120.0,31927
28,val,0,81.98338199115449,111.51304058863906,28.528782076410458,30.0,33163
28,val,1,147.30515961002186,185.48452932793313,25.92858785648574,60.0,34784
28,val,2,176.1499700182741,236.794225616874,40.539355404516556,120.0,31927
29,val,0,77.28134366282112,105.36866892864731,28.869523263878417,30.0,33163
29,val,1,128.0630381951775,165.6283923349888,30.864765409383626,60.0,34784
29,val,2,152.2485044962495,218.3275119063338,50.230212672659505,120.0,31927
30,val,0,77.40511125621457,105.70249770052615,28.23628742876097,30.0,33163
30,val,1,133.68202575150167,169.99877388883223,28.57060717571297,60.0,34784
30,val,2,155.07866653383599,218.71257601292137,47.9186895104457,120.0,31927
31,val,0,87.42442066091516,117.68652096042884,24.261978711214304,30.0,33163
31,val,1,127.36764201398496,166.6985624305242,31.025758969641217,60.0,34784
31,val,2,142.72334014121202,207.45872119687348,53.296582829579975,120.0,31927
32,val,0,75.6626842829947,109.8119572540471,33.14235744655188,30.0,33163
32,val,1,139.15180100315519,177.0145422525447,26.952046918123273,60.0,34784
32,val,2,150.95298705102655,212.64804568568573,49.180944028565165,120.0,31927
33,val,0,82.28425275373958,110.61449463807264,27.841268883997227,30.0,33163
33,val,1,120.93126889380602,156.45950381356602,33.00080496780129,60.0,34784
33,val,2,154.31192686177891,221.63080201216255,49.409590628621544,120.0,31927
34,val,0,65.66129346804456,91.11998215086832,33.748454603021436,30.0,33163
34,val,1,116.42294640001509,149.96139481139411,33.61315547378105,60.0,34784
34,val,2,144.04653705560244,209.42218575296988,52.100103360791806,120.0,31927
35,val,0,93.1056205290087,131.62455379105717,27.29849531103941,30.0,33163
35,val,1,146.19743344360464,192.2595955958143,29.378449862005517,60.0,34784
35,val,2,159.21575995217728,219.16573635826757,46.48103486077614,120.0,31927
36,val,0,85.17887584634632,119.16599642934554,28.806199680366674,30.0,33163
36,val,1,135.94271343480366,174.84461270487364,28.76897424103036,60.0,34784
36,val,2,140.6642982061617,204.06484452582586,53.443793654273804,120.0,31927
37,val,0,88.58156629105196,119.41966578669721,25.474173024153423,30.0,33163
37,val,1,139.29908297625616,174.72057563756664,26.11833026678933,60.0,34784
37,val,2,160.0324234456607,220.88883927330693,45.65101638111943,120.0,31927
38,val,0,95.96751121988243,133.18461433109073,26.53559690015982,30.0,33163
38,val,1,138.92063164031055,180.14910666926014,27.84326126954922,60.0,34784
38,val,2,151.104234045513,212.1173783162775,49.11516897923388,120.0,31927
39,val,0,103.51109279134148,144.00364912675357,24.210716762657178,30.0,33163
39,val,1,156.71376511364107,202.67660999232984,25.842341306347745,60.0,34784
39,val,2,168.9408714606759,224.27231611492843,42.54079619131143,120.0,31927
40,val,0,101.69355737162604,140.62578947786042,22.178331272804026,30.0,33163
40,val,1,154.71447225393456,204.37266517342346,27.36315547378105,60.0,34784
40,val,2,176.09252824161123,230.3909655240374,40.8870235224105,120.0,31927
41,val,0,92.79032025157343,126.90534952828331,26.200886530169164,30.0,33163
41,val,1,152.92174559508098,194.45807396493043,25.120745170193192,60.0,34784
41,val,2,197.9331933156351,251.97815274410473,34.36902934820058,120.0,31927
42,val,0,96.64344833471108,137.49847072866723,24.641920212284777,30.0,33163
42,val,1,169.26339958913852,219.7421924716642,24.22665593376265,60.0,34784
42,val,2,220.73511084765883,268.56581314906816,27.155698938202775,120.0,31927
43,val,0,124.71319158060777,179.84413443121,19.940897988722373,30.0,33163
43,val,1,186.24379452983501,246.88074242867262,23.033578656853727,60.0,34784
43,val,2,225.5306829563095,273.88709507327275,26.82682369154634,120.0,31927
44,val,0,99.84002878242978,141.59088025282875,25.77269848928022,30.0,33163
44,val,1,163.95171792066304,212.91708913767832,24.747010119595217,60.0,34784
44,val,2,226.44863299449477,275.12513091840873,27.07739530804648,120.0,31927
45,val,0,102.26579342596429,154.53113801336897,28.20613334137442,30.0,33163
45,val,1,157.68456404474534,211.13591898706161,28.357865685372584,60.0,34784
45,val,2,167.2148139579157,219.58319484272076,42.08663513640493,120.0,31927
46,val,0,106.51289660354843,149.1887532593865,23.90616048005307,30.0,33163
46,val,1,159.33491132888864,205.5073321637231,25.212741490340385,60.0,34784
46,val,2,180.34734877060853,233.67109836599087,38.70078616844677,120.0,31927
47,val,0,103.06843257743358,141.03960643577028,23.360371498356603,30.0,33163
47,val,1,148.88143369574667,194.91146372343854,27.55864765409384,60.0,34784
47,val,2,187.30791283723173,242.77441776302805,37.45732452156482,120.0,31927
48,val,0,109.18087141602182,147.83127986793176,23.315140367276786,30.0,33163
48,val,1,149.00493044883916,189.19036108253755,25.603725850965965,60.0,34784
48,val,2,160.09835796981687,217.17409399153252,44.82413004666896,120.0,31927
49,val,0,110.30404015888377,153.46832670061178,24.681120525887284,30.0,33163
49,val,1,161.66417100304514,206.20128890873227,24.643514259429622,60.0,34784
49,val,2,176.6363876648169,226.93497593093065,36.99376703103956,120.0,31927
50,val,0,116.39521439541409,156.3548197169621,21.134999849229562,30.0,33163
50,val,1,165.26848134845358,210.13361266086324,23.78967341306348,60.0,34784
50,val,2,188.85347472205882,239.33275677467617,34.99859053465719,120.0,31927
51,val,0,104.99202578251035,145.4015754188765,24.090100413110996,30.0,33163
51,val,1,174.61658373203647,218.3898838807652,21.216651333946643,60.0,34784
51,val,2,218.5469664714867,261.90270563013325,24.85670435681398,120.0,31927
52,val,0,107.06991417304536,147.51910112042995,23.565419292585112,30.0,33163
52,val,1,185.1329815890006,231.18306278731086,20.581301747930084,60.0,34784
52,val,2,241.6260199659575,285.2438231801302,21.361230306637015,120.0,31927
53,val,0,116.59102898010984,157.27922326337526,22.247685673793082,30.0,33163
