epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
1,train,0.35096005341481595,2.01560414286833,,,,1.7526322837386812,0.20739477257879954,y_log_z
1,val,,,0.24321057886106612,103.14823665984098,189.240253932090980,,,y_log_z
2,train,0.24764895607672988,2.035189384978915,,,,1.7312883838774666,0.22306647506498156,y_log_z
2,val,,,0.20282077794194406,87.86564919633884,174.750875153825376,,,y_log_z
3,train,0.20581759849474543,2.0413466017870676,,,,1.726608714177495,0.22692364356702283,y_log_z
3,val,,,0.1786552791347021,79.16271400128552,166.833785811342125,,,y_log_z
4,train,0.17681354914037956,2.0245530158281326,,,,1.736738008639169,0.21675437363603758,y_log_z
4,val,,,0.16985714253895534,74.21800152927196,159.723392050891533,,,y_log_z
5,train,0.16293965812240327,2.0266398614834227,,,,1.7411975122633434,0.21855131654985369,y_log_z
5,val,,,0.17016338703289013,70.10670823079892,151.780260334225744,,,y_log_z
6,train,0.15442134710472255,2.01775927605137,,,,1.7555232118992579,0.21389121296150343,y_log_z
6,val,,,0.16801024217855842,68.68571965623131,148.894865846497453,,,y_log_z
7,train,0.1482724224232019,2.0167939272664843,,,,1.7597072062984345,0.2138363668724658,y_log_z
7,val,,,0.1579940271260679,64.37854793363965,149.670299667146992,,,y_log_z
8,train,0.1429433853528093,2.015563117369773,,,,1.7619202893877786,0.21205991450401526,y_log_z
8,val,,,0.16189288841811567,68.19080852491088,146.520045583045260,,,y_log_z
9,train,0.13870193002124628,2.0140236668170446,,,,1.7643412914541032,0.21141031854564235,y_log_z
9,val,,,0.15168455648726453,62.65739697778321,146.801861951732690,,,y_log_z
10,train,0.13493027437537436,2.016370760069953,,,,1.7599332280575284,0.21422173665274705,y_log_z
10,val,,,0.1546142922686015,61.56053516695188,144.489129641811161,,,y_log_z
11,train,0.13245844613346788,2.014483189298993,,,,1.7576066858711696,0.2111871283323992,y_log_z
11,val,,,0.15295028838975927,63.449910613016435,146.296187577091274,,,y_log_z
12,train,0.13037341812418568,2.0145927539893558,,,,1.7577032456322321,0.21068947664683774,y_log_z
12,val,,,0.15045555032781371,62.807658037803165,146.696998797887744,,,y_log_z
13,train,0.12799746750129593,2.0127251803401918,,,,1.7580281058474192,0.20667589293231095,y_log_z
13,val,,,0.15318693063602443,62.93410370705604,143.846623430090148,,,y_log_z
14,train,0.12562105448413935,2.011180629569387,,,,1.7594133064387336,0.2063749096696339,y_log_z
14,val,,,0.1549986619960908,62.2600086024921,143.717681160768109,,,y_log_z
