epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
18,val,,,0.5066820084071839,147.45084356077527,203.921441139195565,,,y_log_z
19,train,0.2351636296759049,2.076907833417257,,,,1.227085628443294,0.21376574929389688,y_log_z
19,val,,,0.40474201996483206,129.94317396121616,191.665494616044214,,,y_log_z
20,train,0.23378515450490844,2.0792966104216046,,,,1.2263891696929932,0.21481320841444862,y_log_z
20,val,,,0.44757524991654407,146.12568240088763,212.003777773653695,,,y_log_z
21,train,0.2366131842136383,2.120118945837021,,,,1.2341735834876697,0.22315790297256577,y_log_z
21,val,,,0.5551653043198276,197.83549611175474,256.493362145767776,,,y_log_z
22,train,0.2328303578413195,2.0900444901651807,,,,1.3033451189597447,0.22413128055632114,y_log_z
22,val,,,0.8208281843799639,262.17521002738584,318.728068873566883,,,y_log_z
23,train,0.22995112898449102,2.1459267603026495,,,,1.2433166603247325,0.2314208654893769,y_log_z
23,val,,,0.49323638307206374,172.57570842803642,229.393406503666057,,,y_log_z
24,train,0.22242153084112537,2.1082201633188458,,,,1.2988451537158754,0.21924502692288822,y_log_z
24,val,,,0.40382767493004224,134.37661381544237,201.634603662861650,,,y_log_z
25,train,0.22203952446579933,2.0721007552411823,,,,1.4402241044574313,0.22482495051291254,y_log_z
25,val,,,0.5890413240695119,164.23178001393404,224.483486822338051,,,y_log_z
26,train,0.21718467565046418,2.061443361971113,,,,1.4729189541604784,0.21407083401249516,y_log_z
26,val,,,0.7277831746974426,223.00721565077438,287.916045155093002,,,y_log_z
27,train,0.2206785279429621,2.0588795410262213,,,,1.4765568243132696,0.21268490081032118,y_log_z
27,val,,,0.5774326859656242,203.5082631919885,268.950059514835800,,,y_log_z
28,train,0.2230269650204314,2.0731909937328763,,,,1.4131226688623428,0.21980803853107822,y_log_z
28,val,,,0.6044067935430024,182.2643400140367,243.483892434649903,,,y_log_z
29,train,0.23189565084046787,2.0857725424898996,,,,1.5413812498251598,0.23245971194571918,y_log_z
29,val,,,0.9328619442776537,259.58789845103274,328.784529717233966,,,y_log_z
30,train,0.2287419663949145,2.1345768537786274,,,,1.4767190002732806,0.23814017553296354,y_log_z
30,val,,,0.556693302130598,201.01100027158765,272.133208755899375,,,y_log_z
31,train,0.22721576856242287,2.0807747824324503,,,,1.5008755293157365,0.21925190463662148,y_log_z
31,val,,,0.4306549631842641,165.97205021369248,247.846446615707208,,,y_log_z
32,train,0.2178970573263036,2.080887926949395,,,,1.4773273567358653,0.2229355186637905,y_log_z
32,val,,,0.5241115239710605,142.5546427603695,211.597868967850616,,,y_log_z
33,train,0.21367032453417778,2.0506250725852118,,,,1.5048158599270716,0.21049772616889742,y_log_z
33,val,,,0.5411085141167671,152.32460992525273,220.484228757955577,,,y_log_z
34,train,0.21389912958774301,2.0755129473076925,,,,1.5292499661445618,0.2285030275169346,y_log_z
34,val,,,0.4669716604460952,160.9321476060934,221.187289469893813,,,y_log_z
35,train,0.20972968762119612,2.0870027707682715,,,,1.5902678569157918,0.23126538449691403,y_log_z
35,val,,,0.47445816890963144,146.34440527712206,202.388971757494716,,,y_log_z
36,train,0.21308827731344435,2.066850003268984,,,,1.4963332778877683,0.21554384691019854,y_log_z
36,val,,,0.6689789519176038,170.16250227100775,223.981599397258719,,,y_log_z
37,train,0.223551657050848,2.069390109843678,,,,1.570018298096127,0.22520353127684858,y_log_z
37,val,,,0.7097687686422344,217.21381985215427,276.364822004079940,,,y_log_z
38,train,0.21364778259562123,2.0515945040517383,,,,1.588219275077184,0.21155817848112848,y_log_z
38,val,,,0.45085663905240253,165.33316316654077,226.843432072769929,,,y_log_z
39,train,0.22102301588488948,2.0692993799845376,,,,1.574608701798651,0.2175853666332033,y_log_z
39,val,,,0.4195338057871456,157.54579126459979,222.460673199592009,,,y_log_z
40,train,0.21515739729834926,2.0658804873625436,,,,1.5469428598880768,0.22474554905460942,y_log_z
40,val,,,0.6368936450175668,187.58777514969987,247.951479993709398,,,y_log_z
41,train,0.20997321667770544,2.048026223977407,,,,1.618516605761316,0.21378546870417064,y_log_z
41,val,,,0.7473233100878147,228.1751965043902,284.593955391910583,,,y_log_z
42,train,0.20812202741702399,2.0656280633476047,,,,1.5555928084585402,0.22216114277640978,y_log_z
42,val,,,0.6542950488110058,196.03771540158573,257.541661777530464,,,y_log_z
43,train,0.20681524235341284,2.0365062985155316,,,,1.577904807196723,0.2084793011761374,y_log_z
43,val,,,0.6022729687389374,184.43130534998096,245.187287269939930,,,y_log_z
44,train,0.2105670411967569,2.040544687045945,,,,1.627871185541153,0.21701453108754423,y_log_z
44,val,,,0.6838265853409219,186.08288617359148,240.539649914295154,,,y_log_z
45,train,0.2109918435000711,2.0418129364649453,,,,1.6246158364746306,0.21432744214932123,y_log_z
45,val,,,0.7292960567830405,203.8729635399038,257.116938439612341,,,y_log_z
46,train,0.21901345853176382,2.079830471012327,,,,1.5852098216613133,0.23929033283558157,y_log_z
46,val,,,0.732492756273071,213.47425310093666,266.773549827528370,,,y_log_z
47,train,0.218562766081757,2.077410578727722,,,,1.5229927334520552,0.2248608556886514,y_log_z
47,val,,,0.5957101342223868,169.04522444595187,221.907340533625074,,,y_log_z
48,train,0.22543956649800143,2.0682472950882382,,,,1.5160572661293878,0.21824289816949102,y_log_z
48,val,,,0.6813918708515689,204.29919851508757,264.456005019017880,,,y_log_z
49,train,0.22539603751566675,2.0538115402062735,,,,1.4640283899174795,0.20724641448921627,y_log_z
49,val,,,0.7844290782324574,235.45838043859692,299.904241737887332,,,y_log_z
50,train,0.22152403224673536,2.0547590106725693,,,,1.5057293822367985,0.2147363153182798,y_log_z
50,val,,,0.6923834827853854,234.86149265640088,301.590648899698579,,,y_log_z
51,train,0.21576482492188612,2.0471362041102514,,,,1.5021637777487438,0.2086050377951728,y_log_z
51,val,,,0.5828673644168528,198.35679106759764,256.127612793416176,,,y_log_z
52,train,0.21346341653002632,2.044538042611546,,,,1.4770979583263397,0.20386426440543598,y_log_z
52,val,,,0.71607998015881,204.60562684558266,263.848041841501072,,,y_log_z
53,train,0.2094715815037489,2.0342036949263678,,,,1.5150329834885068,0.20592611241671774,y_log_z
53,val,,,0.7770611536978231,280.18759672198695,351.019881451462879,,,y_log_z
54,train,0.21274255133337444,2.0512042740980783,,,,1.517602746685346,0.21095010369188255,y_log_z
54,val,,,0.6383939763152945,258.6595624048043,331.152027998177346,,,y_log_z
55,train,0.20790592456857362,2.0562047925260334,,,,1.5196331722868814,0.2153214905411005,y_log_z
55,val,,,0.470223863824167,193.1120029428994,261.817261468750814,,,y_log_z
56,train,0.20396715961396694,2.0310287127892175,,,,1.6001302748918533,0.20796857008503544,y_log_z
56,val,,,0.40332923536860754,135.46446276317246,200.637298284211909,,,y_log_z
