epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,val_MAPE,router_entropy,router_max_share,target_key
1,train,0.6848827981286578,0.0,,,,,,,y_log_z
1,val,,,0.8371938353389402,269.9602910405322,348.1474060513811,258.03076173333267,,,y_log_z
2,train,0.6806488061944643,0.0,,,,,,,y_log_z
2,val,,,0.839856381653123,267.31546459841115,342.92595130953885,268.135298184096,,,y_log_z
3,train,0.6742484122514725,0.0,,,,,,,y_log_z
3,val,,,0.8480009790588375,264.2207618639934,336.1920708622039,283.2006075256842,,,y_log_z
4,train,0.6693714550799794,0.0,,,,,,,y_log_z
4,val,,,0.857432666449092,262.4734497416651,331.7278065181539,295.20033904901396,,,y_log_z
5,train,0.66694033311473,0.0,,,,,,,y_log_z
5,val,,,0.8660627429839516,261.5057472439921,328.8628328341213,304.31693037059114,,,y_log_z
6,train,0.6658884949154324,0.0,,,,,,,y_log_z
6,val,,,0.8719898637013431,261.0758304266508,327.310331657928,309.99038720137804,,,y_log_z
7,train,0.6655265506770875,0.0,,,,,,,y_log_z
7,val,,,0.8758766271206664,260.8708253899911,326.4327790065867,313.52144111308,,,y_log_z
8,train,0.6653785068127844,0.0,,,,,,,y_log_z
8,val,,,0.8786247569080313,260.7579508214826,325.87032136538,315.94248462869956,,,y_log_z
9,train,0.6653113034036424,0.0,,,,,,,y_log_z
9,val,,,0.8804078990855989,260.6962095480632,325.52887656375333,317.4832333908448,,,y_log_z
10,train,0.665280259317822,0.0,,,,,,,y_log_z
10,val,,,0.8815555754015821,260.6605393658973,325.31842257538705,318.46287835611395,,,y_log_z
11,train,0.6652651925881704,0.0,,,,,,,y_log_z
11,val,,,0.8821524262192122,260.643081149329,325.2117363391552,318.9688864160138,,,y_log_z
12,train,0.6652616047196918,0.0,,,,,,,y_log_z
12,val,,,0.8824876079165234,260.63371207572595,325.15264450339896,319.2520238801132,,,y_log_z
13,train,0.6652602205673853,0.0,,,,,,,y_log_z
13,val,,,0.882616784044834,260.6301087952708,325.1300376746106,319.3608959724455,,,y_log_z
14,train,0.6652600914239883,0.0,,,,,,,y_log_z
14,val,,,0.8826412997358909,260.62942799847684,325.1257681105061,319.3814906490478,,,y_log_z
15,train,0.665262377096547,0.0,,,,,,,y_log_z
15,val,,,0.8826394350749143,260.62947839618323,325.1260731851167,319.3799920755829,,,y_log_z
16,train,0.6652644880943828,0.0,,,,,,,y_log_z
16,val,,,0.882633699165511,260.6296403221471,325.127082469156,319.3751461572371,,,y_log_z
17,train,0.6652656015422609,0.0,,,,,,,y_log_z
17,val,,,0.8825810859816196,260.6311070665051,325.13628644388655,319.33076090503704,,,y_log_z
18,train,0.6652673135201136,0.0,,,,,,,y_log_z
18,val,,,0.882514444837964,260.63296307092514,325.1479499030236,319.2745785647355,,,y_log_z
19,train,0.6652695917420917,0.0,,,,,,,y_log_z
19,val,,,0.8824616221706052,260.63443977038554,325.15720841168326,319.23006681273705,,,y_log_z
20,train,0.6652713533904817,0.0,,,,,,,y_log_z
20,val,,,0.8824163595956811,260.6357027462395,325.16514758940133,319.1919173045191,,,y_log_z
21,train,0.6652726448244519,0.0,,,,,,,y_log_z
