epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
13,val,,,0.216529741454642,86.07067862222625,140.614813963176630,,,y_log_z
14,train,0.16484946757555008,2.043626540237003,,,,1.727277816997634,0.2381394762131903,y_log_z
14,val,,,0.12597209795320916,74.31720998842097,127.205683574752953,,,y_log_z
15,train,0.16020583444171482,2.0260171227984958,,,,1.7269560280773375,0.2165009251071347,y_log_z
15,val,,,0.15734054390996904,81.56002410573626,129.201555364061676,,,y_log_z
16,train,0.16007415836469996,2.0487577650282116,,,,1.7113357103533215,0.23346351997719872,y_log_z
16,val,,,0.18274831945582007,78.96751769636128,128.021933202409599,,,y_log_z
17,train,0.15479734664162,2.0515369143750934,,,,1.6996451218922932,0.23644723784592417,y_log_z
17,val,,,0.2970908750163276,90.82642051923948,136.822836817639939,,,y_log_z
18,train,0.15089852662963998,2.0615008390612073,,,,1.688559306992425,0.23504506589637864,y_log_z
18,val,,,0.4442236307954324,101.2367802655337,149.897401999549430,,,y_log_z
19,train,0.15129304739336172,2.048574146297243,,,,1.7061085485749774,0.23295076770914924,y_log_z
19,val,,,0.5716934562225785,113.09883901144899,168.428708516179171,,,y_log_z
20,train,0.1502112950094872,2.0362102025085025,,,,1.709593152006467,0.22849491093721655,y_log_z
20,val,,,0.9092469441832092,132.83405612173473,199.991037854679035,,,y_log_z
21,train,0.1483594953185982,2.039945509698656,,,,1.706411737534735,0.226393883013063,y_log_z
21,val,,,0.946818499823475,174.2080156045065,242.186720479939822,,,y_log_z
22,train,0.15423960952709118,2.0385951830281153,,,,1.7082473304536607,0.2249372224840853,y_log_z
22,val,,,0.6973101932135368,148.54617381663385,211.026632066962037,,,y_log_z
23,train,0.15689822058710787,2.0301480491956077,,,,1.682199819220437,0.21237787252498996,y_log_z
23,val,,,0.4151595677426913,101.74879511664113,152.314061726780494,,,y_log_z
24,train,0.15459259868495995,2.048806216981676,,,,1.68347876601749,0.23051516463359198,y_log_z
24,val,,,0.2620268480686492,125.96708795480819,172.776383458684734,,,y_log_z
25,train,0.148762591700587,2.0289980272452035,,,,1.6855620294809341,0.22147357194787926,y_log_z
25,val,,,0.2027847782179242,108.32235942073125,153.031827699947428,,,y_log_z
26,train,0.1475104848957724,2.03056592742602,,,,1.6777172303862042,0.21966776541537708,y_log_z
26,val,,,0.21733823762816554,115.95604307969495,162.042129686156159,,,y_log_z
27,train,0.1446130064626535,2.0377382371160717,,,,1.693736857838101,0.22543062269687653,y_log_z
27,val,,,0.2202746476236907,98.69427362089165,144.673994975004604,,,y_log_z
28,train,0.14533937153302962,2.0430321362283497,,,,1.6869596325688891,0.22176132682296965,y_log_z
28,val,,,0.34216411555116805,93.73705183372988,142.691884407589697,,,y_log_z
29,train,0.1454250104725361,2.059544129504098,,,,1.675433701939053,0.23598186237116656,y_log_z
29,val,,,0.47045148086621313,105.25240964033459,164.112031360213166,,,y_log_z
30,train,0.14033212388555208,2.046240018473731,,,,1.6955596109231312,0.2371848469807042,y_log_z
30,val,,,0.642431835048194,110.60742022229743,173.189181620183007,,,y_log_z
31,train,0.14362603436327642,2.041964054107666,,,,1.6835167523887422,0.22706945944163534,y_log_z
31,val,,,0.7526592885988281,122.635344887526,184.920060127261507,,,y_log_z
32,train,0.14159941538754436,2.055508795711729,,,,1.6692126840353012,0.2396044342054261,y_log_z
32,val,,,0.7385927422365616,120.72573881248694,180.590467035372370,,,y_log_z
33,train,0.13901613797578546,2.033912218279309,,,,1.6687178760766983,0.21742438628441757,y_log_z
33,val,,,0.49032975507599186,121.12666147160681,169.598278336522952,,,y_log_z
34,train,0.13753925605366626,2.031841018133693,,,,1.6544555905792449,0.2219350840896368,y_log_z
34,val,,,0.3219651089675112,106.53065940673967,152.935837861227952,,,y_log_z
35,train,0.13900615243862072,2.0354668117231793,,,,1.6491921974553003,0.2232472025271919,y_log_z
35,val,,,0.16488008662096873,96.60288572172315,142.709711424339162,,,y_log_z
36,train,0.13932916791074806,2.0346179604530334,,,,1.6673848579327266,0.2218309212476015,y_log_z
36,val,,,0.10849599812627687,79.82589889714575,130.065137538284091,,,y_log_z
37,train,0.13630942224214473,2.0269715074035854,,,,1.6997398883104324,0.21348561139570343,y_log_z
37,val,,,0.11442011989526797,75.2615345222733,127.448238345396035,,,y_log_z
38,train,0.13374167918745014,2.0263464632961483,,,,1.7017695754766464,0.21545010142856175,y_log_z
38,val,,,0.15330639470923166,79.56874695319422,131.680185107072987,,,y_log_z
