epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
40,val,2,118.09102289437271,208.95321784999658,69.62579123743329,120.0,32228
41,val,0,77.5367492809876,97.29531664307515,25.44316369217805,30.0,33227
41,val,1,101.72167642261795,133.93783055533538,40.781803634701106,60.0,34996
41,val,2,110.75190271815754,204.71138025486908,74.32046667494104,120.0,32228
42,val,0,88.6851040830993,111.28687224856523,22.857916754446688,30.0,33227
42,val,1,132.90870009864966,165.36722892877486,28.50040004571951,60.0,34996
42,val,2,143.70561970690278,203.6763793148525,51.59178354226138,120.0,32228
43,val,0,88.50306246702371,111.6374818324328,22.996358383242544,30.0,33227
43,val,1,150.33357803670867,181.40261155673812,22.44256486455595,60.0,34996
43,val,2,151.3567697752997,213.08649148207272,47.666625294774725,120.0,32228
44,val,0,83.96339208794805,104.88314255477502,22.79471514130075,30.0,33227
44,val,1,142.07346414366998,178.24936313109643,26.182992341981944,60.0,34996
44,val,2,192.87398990869255,247.88599429343017,34.64689090232096,120.0,32228
45,val,0,79.4560557565842,99.07872501020243,25.51539410720197,30.0,33227
45,val,1,136.70773270432915,165.12276635933907,24.982855183449537,60.0,34996
45,val,2,150.69437648872147,228.9778885264017,52.83294030035993,120.0,32228
46,val,0,60.97352674538614,78.17312857148372,34.474975170794835,30.0,33227
46,val,1,129.18960247940166,151.9372601328251,23.46268144930849,60.0,34996
46,val,2,156.87386758081578,238.3168369568856,50.5554176492491,120.0,32228
47,val,0,43.49096943101031,56.71611725266315,44.749751707948356,30.0,33227
47,val,1,111.81564246293327,134.2838682343247,29.420505200594356,60.0,34996
47,val,2,156.46651161499705,237.01284659801613,50.21720243266724,120.0,32228
48,val,0,37.23775325465971,47.80944617948109,49.453757486381555,30.0,33227
48,val,1,103.89713178436911,124.49237286202411,30.906389301634473,60.0,34996
48,val,2,150.66522847829333,244.62149669778807,56.84187662901824,120.0,32228
49,val,0,42.7601146424183,54.97146072874829,43.29912420621784,30.0,33227
49,val,1,73.96853117616344,92.38010193553347,47.759743970739514,60.0,34996
49,val,2,128.48275470863845,220.2573264011318,65.06764304331637,120.0,32228
50,val,0,49.59538700304557,65.06559557507312,38.69744484906853,30.0,33227
50,val,1,74.40873184753481,94.03719372544113,48.44839410218311,60.0,34996
50,val,2,112.60377354531337,200.8534696518266,72.30048405113565,120.0,32228
51,val,0,69.70172563122846,95.16944147431226,35.25747133355404,30.0,33227
51,val,1,109.32687304330317,141.98491991366865,36.009829694822265,60.0,34996
51,val,2,151.30597953327657,216.94372527527304,51.01464564974556,120.0,32228
52,val,0,82.14458638682397,105.79051406486553,24.561350708760948,30.0,33227
52,val,1,143.95321694689216,179.71451028811003,25.800091439021607,60.0,34996
52,val,2,179.03115851923212,242.93701572945497,41.97902445078813,120.0,32228
53,val,0,95.113202174507,116.90695772727183,18.8250519156108,30.0,33227
53,val,1,167.86203415574502,211.80096719258896,22.3739855983541,60.0,34996
53,val,2,205.79998609607475,262.70343037430433,34.43899714533946,120.0,32228
54,val,0,87.62590498529175,106.29057382956147,19.484154452704125,30.0,33227
54,val,1,131.79392429307768,166.21740401679125,28.66041833352383,60.0,34996
54,val,2,192.3924402220604,261.99825568523175,38.54102023085515,120.0,32228
55,val,0,77.68191831135658,94.63778929729378,23.176934420802358,30.0,33227
55,val,1,130.33998063785415,154.247645976611,22.89404503371814,60.0,34996
55,val,2,172.93189661358136,258.30402855798826,46.13379669852302,120.0,32228
56,val,0,65.4803268152947,80.39639317255406,28.771781984530655,30.0,33227
56,val,1,121.4267918844743,142.98474866912335,24.874271345296606,60.0,34996
56,val,2,155.20938327387336,249.22697201407027,54.697778329403,120.0,32228
57,val,0,53.99713424814416,68.23270156823212,36.59674361212267,30.0,33227
57,val,1,108.69643553571301,128.7785589040276,28.52897473997028,60.0,34996
57,val,2,123.07324201326534,211.9381836256424,68.10227131686733,120.0,32228
58,val,0,44.64746703605596,57.939542333733854,44.003370752701116,30.0,33227
58,val,1,84.58798787383736,103.60958760608094,40.03886158418105,60.0,34996
58,val,2,135.8373043102441,212.0500306707782,58.40573414422241,120.0,32228
59,val,0,43.40897457763312,57.01612606590183,45.550305474463535,30.0,33227
59,val,1,75.05797922664375,93.24369989541702,45.91667619156475,60.0,34996
59,val,2,110.59321344817589,198.1013977022976,73.09482437631874,120.0,32228
60,val,0,46.037184170482355,64.69060310460337,47.031028982454025,30.0,33227
60,val,1,86.37029306558026,106.18508043038062,39.45308035204023,60.0,34996
60,val,2,113.03318461067434,190.31896978010522,69.25654710189897,120.0,32228
61,val,0,60.45338607697618,79.79331274832707,33.87305504559545,30.0,33227
61,val,1,89.57118024705055,110.14340075838763,38.012915761801345,60.0,34996
61,val,2,113.41085399917918,187.6663180583215,68.8904058582599,120.0,32228
62,val,0,64.88472129658062,81.86051798128882,28.49790832756493,30.0,33227
62,val,1,99.25622210479189,122.21706039125374,34.3553548977026,60.0,34996
62,val,2,143.39407746721116,208.03606982754826,51.71279632617599,120.0,32228
63,val,0,68.59539788860057,85.01287564811325,25.536461311583952,30.0,33227
63,val,1,88.85382949318091,114.69236251765346,42.16767630586353,60.0,34996
63,val,2,140.79749794191,202.61126789572276,53.53419386868562,120.0,32228
64,val,0,68.26844374521521,82.50570029445626,23.393625665874136,30.0,33227
64,val,1,87.26818057247837,109.40903820035484,40.82752314550234,60.0,34996
64,val,2,144.66368312298312,208.8983707475863,51.41491870423235,120.0,32228
65,val,0,58.52149637739898,70.54848156669006,27.269991272158183,30.0,33227
65,val,1,94.80744812520985,116.37730500506666,35.94982283689564,60.0,34996
