epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
26,val,0,61.70533208263563,78.90137598106585,31.68289961704309,30.0,33163
26,val,1,101.47408394344158,132.16769168638461,38.365340386384545,60.0,34784
26,val,2,146.59502540096352,228.89940609954823,56.065399191906536,120.0,31927
27,val,0,64.97677667058356,82.0504402068057,29.795253746645358,30.0,33163
27,val,1,104.70431421695768,134.89919883893577,36.12580496780129,60.0,34784
27,val,2,157.42303598896018,239.55270003205737,51.407899270210166,120.0,31927
28,val,0,62.66676518523326,80.18062638686297,30.597352471127458,30.0,33163
28,val,1,108.48519407551335,140.65517482977717,35.668698252069916,60.0,34784
28,val,2,147.95835715833434,220.65265296746628,51.88085319635418,120.0,31927
29,val,0,69.20990845127783,89.25119477908751,28.944908482344783,30.0,33163
29,val,1,114.3765249032983,150.17775595926807,34.83498160073597,60.0,34784
29,val,2,161.03116742943374,228.1150981012084,46.41525981144486,120.0,31927
30,val,0,68.86278713817451,90.69141769518272,29.137894641618672,30.0,33163
30,val,1,127.41998269959339,164.8286187748632,30.355910763569455,60.0,34784
30,val,2,175.95418077610398,245.23193003730015,43.85629717793717,120.0,31927
31,val,0,63.441224846956224,81.99646725879619,30.99840183336851,30.0,33163
31,val,1,103.44008239914544,138.40371111701842,40.11327046918123,60.0,34784
31,val,2,162.89517509854022,237.30824721301354,47.69004291038932,120.0,31927
32,val,0,62.47409102064283,79.33315892827731,30.467689895365318,30.0,33163
32,val,1,110.88146678570114,144.2560079859463,35.35246090156394,60.0,34784
32,val,2,161.61595427899974,233.72716190695473,47.38309268017665,120.0,31927
33,val,0,70.00301555597541,89.11477990358006,28.21819497632904,30.0,33163
33,val,1,113.8674073416702,143.96163842781024,32.512074517019315,60.0,34784
33,val,2,160.04950254560208,235.2894284068867,48.70799010242115,120.0,31927
34,val,0,75.06931716481377,97.18010288753095,26.044085275759127,30.0,33163
34,val,1,118.78801718872407,156.8496164514266,33.690777368905245,60.0,34784
34,val,2,151.93319174038626,221.92408333829673,52.0938390703793,120.0,31927
35,val,0,80.82421396480547,101.82938378587143,23.903145071314416,30.0,33163
35,val,1,125.58862693526928,159.46866487735338,30.183417663293465,60.0,34784
35,val,2,164.23195806363444,234.74219911514868,46.621981395057475,120.0,31927
